City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Katobu,ID,84.87,overcast clouds,-4.9408,122.5276,La Ode Husein
8,Rikitea,PF,78.78,broken clouds,-23.1203,-134.9692,Pension Maro'i
9,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Alofi,NU,86.0,light rain,-19.0595,-169.9187,Taloa Heights
14,Cayenne,GF,77.0,mist,4.9333,-52.3333,Hôtel Le Dronmi
16,Takoradi,GH,79.57,clear sky,4.8845,-1.7554,Raybow International Hotel
19,Ca Mau,VN,82.58,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
22,Butaritari,KI,80.98,broken clouds,3.0707,172.7902,Isles Sunset Lodge
24,Mataura,NZ,81.88,few clouds,-46.1927,168.8643,Ellie's Villa
38,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
43,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
45,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
54,Ugoofaaru,MV,81.37,few clouds,5.6667,73.0,Ungoofaaru Inn
55,Hithadhoo,MV,81.36,clear sky,-0.6,73.0833,Scoop Guest House
58,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
65,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
69,Namatanai,PG,86.16,overcast clouds,-3.6667,152.4333,Namatanai Hotel
75,Carnarvon,AU,84.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
85,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Bambous Virieux,MU,75.0,light rain,-20.3428,57.7575,Casa Tia Villa
103,Jipijapa,EC,80.6,clear sky,-1.3333,-80.5833,Los Ceibos Internacional
105,Kavieng,PG,85.33,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
107,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
108,Muswellbrook,AU,89.01,broken clouds,-32.2667,150.9,Wayfarer Motel
109,Flinders,AU,79.0,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
115,Thinadhoo,MV,81.43,clear sky,0.5333,72.9333,
116,Dingle,PH,81.48,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
126,Cairns,AU,89.01,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
128,Souillac,MU,75.0,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
134,Quatre Cocos,MU,75.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
135,Kyaikto,MM,78.35,clear sky,17.3,97.0167,နီလာ တည်းခိုခန်း
136,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
138,Te Anau,NZ,75.9,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
143,Daru,PG,89.33,scattered clouds,-9.0763,143.2092,Daru Lodge
152,Caucaia,BR,81.0,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
156,Golfito,CR,76.68,overcast clouds,8.639,-83.166,Banana Bay Marina
172,Quelimane,MZ,82.4,light rain,-17.8786,36.8883,Hotel Flamingo
177,Manggar,ID,83.37,overcast clouds,-2.8833,108.2667,Guest Hotel
187,Padang,ID,82.4,few clouds,-0.9492,100.3543,Mercure Padang
190,Saint-Joseph,RE,78.8,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
191,Labuhan,ID,83.25,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
194,San Policarpo,PH,81.28,overcast clouds,12.1791,125.5072,JM Lodge
199,Faanui,PF,83.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
201,Saint-Philippe,RE,78.8,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
208,Waingapu,ID,85.14,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
217,Bathsheba,BB,77.22,overcast clouds,13.2167,-59.5167,Atlantis Hotel
220,La Asuncion,VE,76.21,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
225,Bengkulu,ID,83.34,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
227,Atuona,PF,79.99,broken clouds,-9.8,-139.0333,Villa Enata
228,Lorengau,PG,86.38,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
229,Gigmoto,PH,81.66,broken clouds,13.7796,124.39,Cj's Travellers Inn
230,Tulum,MX,79.0,clear sky,20.2167,-87.4667,Kin Ha Tulum
232,Paragominas,BR,75.09,scattered clouds,-2.9667,-47.4833,.
240,Kununurra,AU,84.2,broken clouds,-15.7667,128.7333,Hotel Kununurra
245,Kudahuvadhoo,MV,80.8,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
250,Grand Gaube,MU,75.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
252,Kavaratti,IN,81.27,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
254,Noumea,NC,87.8,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
255,Buenos Aires,AR,81.0,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
257,Puerto Escondido,MX,80.6,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
260,Cockburn Town,TC,77.47,clear sky,21.4612,-71.1419,Osprey Beach Hotel
263,Cap Malheureux,MU,75.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
273,Tadine,NC,81.97,scattered clouds,-21.55,167.8833,
279,Bowen,AU,87.8,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
280,Liku,ID,87.35,overcast clouds,-0.7275,119.8922,Agoes Liverpool
284,Caravelas,BR,77.92,light rain,-17.7125,-39.2481,Pousada dos Navegantes
296,Denpasar,ID,82.4,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
298,Madang,PG,88.5,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
299,Amuntai,ID,83.71,overcast clouds,-2.4177,115.2494,Hotel Balqis
305,Imperial,US,75.2,clear sky,33.0334,-115.4175,Mayflower Landing Field
307,Neuquen,AR,78.8,clear sky,-38.9516,-68.0591,Hotel del Comahue
314,Bubaque,GW,78.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
320,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
321,Catemaco,MX,84.2,clear sky,18.4167,-95.1167,Hotel Playa Cristal
324,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
326,Mahebourg,MU,75.0,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
329,Maceio,BR,75.2,few clouds,-9.6658,-35.7353,Poutur Pousada
335,Port-Gentil,GA,81.5,overcast clouds,-0.7193,8.7815,Fengshui Residence
338,Chapada Dos Guimaraes,BR,80.6,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
344,Kirakira,SB,79.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
346,Upata,VE,75.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
349,Rio Branco,BR,77.0,broken clouds,-9.9747,-67.81,João Paulo Hotel
350,Santa Marta,CO,84.2,few clouds,11.2408,-74.199,Casa de Isabella
359,Pietermaritzburg,ZA,75.99,overcast clouds,-29.6168,30.3928,Redlands Hotel
361,Carutapera,BR,78.1,broken clouds,-1.195,-46.02,Lidera
363,Pangkalanbuun,ID,83.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
371,Ocos,GT,78.8,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
375,Cururupu,BR,76.62,broken clouds,-1.8283,-44.8683,Pousada Través'cia
377,Altamira,BR,76.91,scattered clouds,-3.2033,-52.2064,Requinte Hotel
380,Tecoanapa,MX,77.58,clear sky,16.5167,-98.75,Hotel Manglares
389,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
391,Poum,NC,81.07,clear sky,-20.2333,164.0167,Gîte kajeon
395,Port Augusta,AU,77.0,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
398,Iquitos,PE,77.0,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
400,Maningrida,AU,82.04,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
410,Lodwar,KE,78.78,scattered clouds,3.1191,35.5973,Turkwel Lodge
416,Ko Samui,TH,80.6,few clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
417,Bambanglipuro,ID,84.11,clear sky,-7.95,110.2833,Puri Brata
422,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
434,Isangel,VU,86.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
436,Monrovia,LR,79.38,overcast clouds,6.3005,-10.7969,Sunset Inn
437,Kieta,PG,87.33,light rain,-6.2167,155.6333,
446,Biak,ID,83.21,light rain,-0.9131,122.8766,Penginapan Kim
454,Sechura,PE,76.53,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
461,Kalmunai,LK,77.86,few clouds,7.4167,81.8167,VS Villa
463,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
464,Buala,SB,77.7,light rain,-8.145,159.5921,Maringe Lagoon Lodge
468,Acapulco,MX,80.6,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
469,Suba,PH,80.31,scattered clouds,10.8438,121.0102,Casita Bed and Grill
481,Sawtell,AU,82.99,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
482,Mount Isa,AU,78.8,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
485,Kundiawa,PG,79.32,overcast clouds,-6.0167,144.9667,Kundiawa Hotel
487,Sabang,ID,82.54,few clouds,5.8933,95.3214,Hotel Citra
490,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
500,Thio,NC,87.8,scattered clouds,-21.6167,166.2167,La Ferme de Thio
501,Buchanan,LR,79.14,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
511,Tucuman,AR,78.8,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
518,Port Blair,IN,81.28,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
521,Kandrian,PG,89.46,scattered clouds,-6.2167,149.55,Kandrian Station
524,Boyolangu,ID,82.85,scattered clouds,-8.1181,111.8935,Yos ega cv
525,Rantepao,ID,82.27,broken clouds,-2.9701,119.8978,Hotel Luta Resort
529,Maragogi,BR,77.67,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
536,Sinnamary,GF,77.22,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
537,Diapaga,BF,75.0,broken clouds,12.0708,1.7889,
538,Santa Josefa,PH,79.63,overcast clouds,7.9911,126.03,Madmax’s Base
539,Alice Town,BS,76.23,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
540,Fonte Boa,BR,75.34,overcast clouds,-2.4959,-66.2662,
542,Langsa,ID,84.0,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
545,Phan Thiet,VN,81.23,overcast clouds,10.9333,108.1,Hotel Saigon-PT
550,Singaraja,ID,83.1,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
553,Bacolod,PH,83.82,broken clouds,10.6667,122.95,Planta Hotel & Residences
556,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
558,Banda Aceh,ID,82.08,scattered clouds,5.5577,95.3222,Sulthan Hotel International
561,Cabinda,AO,79.5,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
563,Clarence Town,AU,82.99,broken clouds,-32.5833,151.7833,River Downs Cottage
567,Hervey Bay,AU,91.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
570,Kui Buri,TH,84.99,clear sky,12.0828,99.8543,ริสต้า รีสอร์ท
572,Yeppoon,AU,95.0,broken clouds,-23.1333,150.7333,Villa Mar Colina
584,Portobelo,PA,81.0,overcast clouds,9.55,-79.65,Scuba Portobelo
588,Kinablangan,PH,78.93,overcast clouds,7.6947,126.5503,Danny Moreno Property
589,Nelson Bay,AU,80.6,broken clouds,-32.7167,152.15,Mantra Nelson Bay
595,Taganak,PH,82.4,few clouds,6.0833,118.3,Taganak
596,Acarau,BR,77.79,broken clouds,-2.8856,-40.12,castelo pizzaria
597,Port Hedland,AU,87.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
598,Ahuimanu,US,77.0,clear sky,21.4447,-157.8378,Paradise Bay Resort
599,Ulladulla,AU,77.0,broken clouds,-35.35,150.4667,Sandpiper Motel
606,Fare,PF,82.09,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
613,Tual,ID,83.88,moderate rain,-5.6667,132.75,Grand Vilia Hotel
623,Pouebo,NC,83.66,few clouds,-20.4,164.5667,
624,Luganville,VU,84.61,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
634,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
643,Sola,VU,82.33,broken clouds,-13.8833,167.55,Leumerus Bungalows
645,Chake Chake,TZ,77.59,broken clouds,-5.2459,39.7666,Hotel Archipelago
646,Vanimo,PG,80.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
650,Panguna,PG,85.46,light rain,-6.3164,155.4848,
652,Oistins,BB,77.07,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
653,Traipu,BR,78.04,overcast clouds,-9.9706,-37.0033,Fazenda Bela Vista
654,Merauke,ID,84.38,overcast clouds,-8.4667,140.3333,
656,Santa Cruz Cabralia,BR,78.8,broken clouds,-16.2781,-39.0247,Portobali Hotel
659,Jesus Maria,AR,75.0,clear sky,-30.9815,-64.0942,Posada Los Platanos
662,Innisfail,AU,87.17,broken clouds,-17.5333,146.0333,Moondarra Motel
663,Saint-Pierre,RE,78.8,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
671,Kupang,ID,84.2,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
672,Dicabisagan,PH,79.95,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
677,Galle,LK,77.2,broken clouds,6.0367,80.217,Amangalla
690,Kismayo,SO,75.54,clear sky,-0.3582,42.5454,Agan-Hotel
692,Matara,LK,75.43,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
